City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Golden,US,39.7555,-105.2211,80.06,69,75,4.0,thunderstorm
80,Hamilton,US,39.1834,-84.5333,80.01,82,40,0.0,scattered clouds
81,Boulsa,BF,12.6675,-0.5758,77.86,73,92,8.48,light rain
82,Airai,TL,-8.9266,125.4092,74.84,26,83,3.38,broken clouds
83,Sakaiminato,JP,35.55,133.2333,89.53,57,2,5.88,clear sky
84,Olga,RU,43.7444,135.2892,81.88,69,14,6.64,few clouds
85,Coruripe,BR,-10.1256,-36.1756,72.55,88,62,10.89,broken clouds
86,Benguela,AO,-12.5763,13.4055,68.68,78,4,3.47,clear sky
87,Katherine,AU,-14.4667,132.2667,82.72,44,100,12.66,overcast clouds
88,Port Hardy,CA,50.6996,-127.4199,62.37,84,100,9.08,overcast clouds
89,Ilulissat,GL,69.2167,-51.1,50.02,43,100,11.5,overcast clouds
90,Fortuna,US,40.5982,-124.1573,55.98,93,90,11.5,overcast clouds
91,Maloy,NO,61.9353,5.1136,64.13,86,100,5.75,overcast clouds
92,Victoria,HK,22.2855,114.1577,91.33,81,47,1.01,scattered clouds
93,Klaksvik,FO,62.2266,-6.589,50.92,95,100,8.9,overcast clouds
94,Thompson,CA,55.7435,-97.8558,60.69,32,5,6.96,clear sky
95,Kloulklubed,PW,7.0419,134.2556,81.1,78,100,17.31,overcast clouds
96,Launceston,AU,-41.45,147.1667,52.81,94,90,3.0,light rain
97,Arraial Do Cabo,BR,-22.9661,-42.0278,69.8,77,0,25.99,clear sky
98,Avera,US,33.194,-82.5271,82.71,71,71,5.28,broken clouds
99,East London,ZA,-33.0153,27.9116,58.69,26,32,6.51,scattered clouds
100,Herran,CO,7.5061,-72.4833,59.2,98,87,4.05,overcast clouds
101,New Norfolk,AU,-42.7826,147.0587,54.9,85,100,1.01,overcast clouds
102,Bengkulu,ID,-3.8004,102.2655,81.16,63,0,2.51,clear sky
103,Camacari,BR,-12.6975,-38.3242,68.65,93,29,5.17,scattered clouds
104,Ziniare,BF,12.5822,-1.2983,76.71,77,73,7.67,light rain
105,Keti Bandar,PK,24.1447,67.4497,82.96,84,100,23.71,overcast clouds
106,Kautokeino,NO,69.0125,23.0412,51.04,90,97,2.44,overcast clouds
107,Dauphin,CA,51.1494,-100.0502,73.98,38,72,9.26,broken clouds
108,Zhangjiakou,CN,40.81,114.8794,75.74,78,100,8.14,light rain
109,Marsh Harbour,BS,26.5412,-77.0636,82.45,78,91,14.07,overcast clouds
110,Margate,GB,51.3813,1.3862,64.31,94,92,1.01,overcast clouds
111,Kudahuvadhoo,MV,2.6708,72.8944,82.58,73,100,6.4,overcast clouds
112,Tigil,RU,57.8,158.6667,72.16,64,76,15.61,broken clouds
113,Lilongwe,MW,-13.9669,33.7873,51.44,72,18,8.39,few clouds
114,Constitucion,CL,-35.3333,-72.4167,50.56,93,100,9.8,overcast clouds
115,Binzhou,CN,37.3667,118.0167,92.26,53,5,9.24,light rain
116,Qaanaaq,GL,77.484,-69.3632,38.91,69,100,1.36,overcast clouds
117,Nizwa,OM,22.9333,57.5333,88.61,47,14,5.01,few clouds
118,Port Said,EG,31.2565,32.2841,79.43,75,6,8.9,clear sky
119,Eenhana,NA,-17.4667,16.3333,52.57,53,0,8.61,clear sky
120,Tuatapere,NZ,-46.1333,167.6833,49.82,93,100,0.45,overcast clouds
121,Pemangkat,ID,1.1667,108.9667,83.5,76,36,6.31,scattered clouds
122,Mahebourg,MU,-20.4081,57.7,69.48,63,7,11.1,clear sky
123,Cidreira,BR,-30.1811,-50.2056,67.53,70,83,5.39,broken clouds
124,Luderitz,NA,-26.6481,15.1594,65.26,27,82,10.42,broken clouds
125,Vardo,NO,70.3705,31.1107,45.9,76,65,21.41,broken clouds
126,Mar Del Plata,AR,-38.0023,-57.5575,47.12,44,99,7.0,overcast clouds
127,Honiara,SB,-9.4333,159.95,84.15,71,87,5.64,overcast clouds
128,Barrow,US,71.2906,-156.7887,39.22,95,90,17.27,moderate rain
129,Tuktoyaktuk,CA,69.4541,-133.0374,44.06,85,100,11.3,overcast clouds
130,Ponta Do Sol,PT,32.6667,-17.1,75.0,81,3,2.21,clear sky
131,Gat,IL,31.61,34.7642,79.48,84,18,3.62,few clouds
132,Araouane,ML,18.9048,-3.5265,94.98,31,18,11.97,few clouds
133,Motril,ES,36.7507,-3.5179,79.3,59,0,6.15,clear sky
134,Vao,NC,-22.6667,167.4833,70.72,65,87,19.62,overcast clouds
135,Lebu,CL,-37.6167,-73.65,48.42,82,26,17.6,scattered clouds
136,Mankato,US,44.1636,-93.9994,79.68,82,1,5.75,clear sky
